avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id
160,D00-SS,NULL,0.420976,2,1,low,0.375963,Left,3,113099
131,D00-FN,NULL,0.465087,2,NULL,low,0.465453,Left,3,125515
150,D00-PD,NULL,0.601995,2,NULL,low,0.44277,Left,3,111957
146,D00-SP,NULL,0.484583,2,NULL,low,0.471085,Left,3,112662
254,D00-SP,NULL,0.85053,6,NULL,low,0.0850537,Left,5,121651
152,D00-MT,NULL,0.506971,2,NULL,medium,0.387467,Left,3,115628
151,D00-PD,NULL,0.438951,2,NULL,low,0.389023,Left,3,125676
135,D00-SS,NULL,0.540937,2,NULL,low,0.312896,Left,5,125999
236,D00-PD,NULL,0.896563,5,NULL,low,0.765251,Left,6,118541
158,D00-SP,NULL,NULL,2,NULL,low,0.338341,Left,3,129462
145,D00-SS,NULL,0.502312,2,NULL,low,0.405199,Left,3,111774
160,D00-SS,NULL,0.508932,2,NULL,low,0.407259,Left,3,124270
279,D00-SS,NULL,0.79986,6,NULL,low,0.0985616,Left,4,111233
274,D00-SP,NULL,0.878575,5,NULL,medium,0.79105,Left,6,118361
296,D00-SS,NULL,0.677557,2,NULL,medium,0.467873,Left,5,114462
259,D00-SP,NULL,0.848992,6,NULL,medium,0.178243,Left,5,117092
164,D00-SS,NULL,0.714642,4,NULL,low,0.524464,Left,2,116698
253,D00-MT,NULL,0.83395,6,NULL,medium,0.145414,Left,4,112773
297,D00-SS,NULL,0.878721,6,NULL,high,0.104844,Left,5,115412
151,D00-SS,NULL,NULL,2,NULL,low,0.42148,Left,3,111116
130,D00-SP,NULL,0.548987,2,NULL,medium,0.422146,Left,3,118046
258,D00-ENG,NULL,0.959213,4,NULL,medium,0.944949,Left,5,111562
140,D00-SP,NULL,0.521566,2,NULL,low,0.461044,Left,3,113738
281,D00-MN,NULL,0.99766,6,NULL,medium,0.107146,Left,4,110438
156,D00-FN,NULL,0.528929,2,NULL,high,0.312928,Left,3,126579
153,D00-FN,NULL,NULL,2,NULL,low,0.356232,Left,3,117468
223,D00-SS,NULL,0.837597,5,NULL,low,0.738441,Left,5,117159
147,D00-SP,NULL,0.452001,2,NULL,low,0.34499,Left,3,113211
148,D00-SS,NULL,0.533172,2,NULL,low,0.36142,Left,3,115247
246,D00-SS,NULL,0.944761,4,NULL,low,0.928173,Left,5,129323
310,D00-PD,NULL,0.524456,5,NULL,medium,0.414488,Left,3,126390
137,D00-ENG,NULL,0.499013,2,NULL,medium,0.504321,Left,3,110118
303,D00-FN,NULL,0.866422,5,NULL,medium,0.0609863,Left,5,116771
151,D00-MN,NULL,0.522235,2,NULL,low,0.421082,Left,3,123359
150,D00-SP,NULL,0.531091,2,NULL,low,0.429583,Left,3,110191
239,D00-IT,NULL,0.82423,4,NULL,low,0.776066,Left,6,118749
202,D00-SS,NULL,NULL,3,NULL,medium,0.425503,Left,3,113867
279,D00-SS,NULL,0.807814,6,NULL,low,0.126932,Left,4,127553
127,D00-IT,NULL,0.516111,2,NULL,low,0.357358,Left,3,112716
136,D00-SS,NULL,0.48096,2,NULL,medium,0.401807,Left,3,119437
274,D00-SS,NULL,0.574151,2,NULL,low,0.732505,Left,4,112066
156,D00-SS,1,0.498253,2,NULL,low,0.453624,Left,3,120884
261,D00-IT,NULL,0.878444,6,NULL,medium,0.101731,Left,4,126747
136,D00-SS,NULL,0.53546,2,NULL,low,0.487851,Left,3,113308
287,D00-ENG,NULL,0.918562,6,NULL,low,0.142113,Left,4,129482
218,D00-IT,1,0.85036,4,NULL,low,0.822958,Left,5,111568
172,D00-SS,NULL,NULL,5,NULL,low,0.326353,Left,2,126959
305,D00-ENG,NULL,0.881748,7,NULL,medium,0.139059,Left,4,126226
291,D00-SS,NULL,0.819279,6,NULL,low,0.101794,Left,4,121608
246,NULL,NULL,0.88409,6,NULL,medium,0.131505,Left,4,115133
243,D00-PD,NULL,0.923938,6,NULL,high,0.154765,Left,4,129924
256,D00-SP,NULL,0.962934,6,NULL,low,0.0798577,Left,4,126368
228,D00-SP,NULL,0.968112,5,NULL,low,0.75621,Left,5,123258
283,D00-ENG,NULL,0.789851,7,NULL,low,0.128018,Left,5,116362
242,D00-SP,NULL,0.846659,5,NULL,medium,0.772121,Left,5,114759
245,D00-ENG,NULL,0.885296,5,NULL,low,0.817257,Left,5,126986
260,D00-IT,NULL,0.876539,5,NULL,medium,0.872302,Left,5,110235
192,D00-SS,NULL,0.551225,7,NULL,low,0.210584,Left,3,120655
158,D00-SP,NULL,0.547159,2,NULL,low,0.358773,Left,3,119989
306,D00-ENG,NULL,0.893635,6,NULL,low,0.166866,Left,4,114238
154,D00-ENG,NULL,0.889985,3,NULL,medium,0.401073,Left,4,119337
298,D00-SS,NULL,0.888568,6,NULL,low,0.14453,Left,4,110133
285,D00-IT,NULL,0.931751,7,NULL,low,0.0737981,Left,4,122457
260,D00-SP,NULL,0.895906,5,NULL,low,0.867948,Left,5,129990
159,D00-PD,NULL,NULL,2,NULL,low,0.324768,Left,3,111738
156,D00-SS,NULL,0.419956,2,NULL,low,0.38645,Left,3,127703
147,D00-SP,NULL,0.582465,2,NULL,low,0.442294,Left,3,118948
247,D00-ENG,NULL,0.876086,5,NULL,low,0.83846,Left,5,110665
246,D00-SS,1,0.855755,5,NULL,medium,0.830533,Left,5,119980
216,D00-ENG,NULL,1,4,NULL,low,0.753578,Left,6,129685
140,NULL,NULL,0.530962,2,NULL,medium,0.43994,Left,3,111673
247,D00-SS,NULL,0.942873,7,NULL,medium,0.144449,Left,4,128659
280,D00-ENG,NULL,0.630177,2,NULL,low,0.327048,Left,4,123252
265,D00-SS,NULL,0.792833,4,NULL,low,0.920042,Left,6,111351
128,D00-SS,NULL,0.498708,2,NULL,medium,0.423624,Left,3,116572
255,D00-SP,NULL,0.894924,7,NULL,medium,0.17525,Left,4,113178
263,D00-ENG,NULL,1,4,NULL,medium,0.829606,Left,6,129044
255,D00-SP,NULL,0.930584,7,NULL,medium,0.0806184,Left,4,115307
132,D00-SS,NULL,0.477055,2,NULL,medium,0.495775,Left,3,122572
136,D00-ENG,NULL,0.529917,2,NULL,low,0.377291,Left,3,111962
141,D00-SS,1,0.462154,2,NULL,low,0.466326,Left,3,117757
131,D00-SS,NULL,0.485783,2,NULL,low,0.349181,Left,3,112450
296,D00-ENG,NULL,0.885543,7,NULL,medium,0.09247,Left,4,123971
137,D00-SS,NULL,NULL,2,NULL,low,0.418467,Left,3,111912
258,D00-SS,NULL,0.967462,2,NULL,low,0.667322,Left,5,118136
159,D00-SS,NULL,0.544412,2,NULL,medium,0.422724,Left,3,115233
129,D00-ENG,NULL,0.558944,2,NULL,medium,0.469451,Left,3,123573
276,D00-SP,NULL,0.752432,5,NULL,low,0.115195,Left,4,122152
139,D00-SS,NULL,0.585351,2,NULL,low,0.475075,Left,3,111005
142,D00-SS,NULL,NULL,2,NULL,low,0.447818,Left,3,119822
130,D00-SS,NULL,0.484567,2,NULL,low,0.455295,Left,3,128303
285,D00-ENG,NULL,0.901575,6,NULL,low,0.131683,Left,4,116549
285,D00-FN,NULL,0.754973,6,NULL,medium,0.0904151,Left,4,123927
309,D00-SS,NULL,0.876306,6,NULL,medium,0.101742,Left,4,110550
263,D00-SP,NULL,0.887814,4,NULL,low,0.773491,Left,5,118142
276,D00-SS,NULL,0.902899,6,NULL,low,0.0961399,Left,4,128622
285,D00-IT,NULL,0.797767,7,NULL,medium,0.125959,Left,4,115278
155,D00-IT,NULL,0.525671,2,NULL,low,0.381088,Left,3,126982
299,D00-SS,1,0.819308,6,NULL,low,0.129074,Left,4,128620
158,D00-SP,NULL,0.543576,2,NULL,low,0.35252,Left,3,129181
270,D00-SS,NULL,0.855482,4,NULL,low,0.884897,Left,5,117890
278,D00-MT,NULL,0.949239,6,NULL,low,0.0938494,Left,4,117601
143,NULL,NULL,0.509272,2,NULL,medium,0.429593,Left,3,114547
282,D00-MT,NULL,0.676745,2,NULL,low,0.356162,Left,5,112646
247,D00-SS,NULL,0.516293,2,NULL,medium,0.0597921,Left,4,113224
158,D00-SS,NULL,0.554521,2,NULL,low,0.365284,Left,3,111135
142,D00-SP,NULL,NULL,2,NULL,medium,0.484054,Left,3,110364
151,D00-AD,NULL,0.458269,2,NULL,medium,0.381992,Left,3,120488
247,D00-ENG,NULL,0.84342,4,NULL,low,0.813122,Left,6,127020
255,D00-SS,NULL,0.86191,6,NULL,low,0.135853,Left,4,118213
241,D00-SS,NULL,0.972069,5,NULL,medium,0.786684,Left,5,119615
143,D00-SS,NULL,0.561972,2,NULL,low,0.415942,Left,3,128928
290,D00-SS,NULL,0.896066,7,NULL,low,0.101141,Left,4,123853
290,D00-MN,NULL,0.755191,7,NULL,low,0.080867,Left,4,124961
267,D00-SP,NULL,0.828781,5,NULL,low,0.789816,Left,5,116866
156,D00-SS,1,0.414742,2,NULL,low,0.361317,Left,3,119040
159,D00-SS,NULL,NULL,2,NULL,low,0.405428,Left,3,112121
160,D00-ENG,NULL,0.600898,2,NULL,medium,0.40791,Left,3,113512
232,D00-SS,NULL,0.960754,4,NULL,low,0.884619,Left,5,117565
141,D00-SS,1,0.503339,2,NULL,low,0.501475,Left,3,123162
139,D00-MT,NULL,0.533964,2,NULL,low,0.385363,Left,3,111800
160,D00-SS,NULL,0.480823,2,NULL,low,0.398427,Left,3,117397
258,D00-SS,NULL,0.950414,2,NULL,low,0.652081,Left,5,110577
268,D00-SP,NULL,0.953886,6,NULL,low,0.169063,Left,4,128931
134,D00-SP,NULL,0.526204,2,NULL,low,0.388992,Left,3,116217
148,D00-SS,NULL,NULL,2,NULL,low,0.430123,Left,3,117262
136,D00-ENG,NULL,0.786735,5,NULL,low,0.0878727,Left,2,114632
137,#NAME?,NULL,0.543217,2,NULL,medium,0.44207,Left,3,126341
144,NULL,NULL,0.458964,2,NULL,medium,0.382781,Left,3,125586
157,D00-SS,NULL,0.503556,2,NULL,low,0.328297,Left,3,118385
280,D00-ENG,NULL,0.839185,6,NULL,low,0.0702263,Left,4,121861
264,D00-ENG,NULL,0.96353,5,NULL,medium,0.74303,Left,5,119824
137,D00-FN,NULL,0.526296,2,NULL,medium,0.455517,Left,3,122944
149,D00-PD,NULL,0.515149,2,NULL,high,0.42107,Left,3,110519
291,D00-PD,NULL,0.876973,6,NULL,low,0.0668486,Left,4,123000
254,D00-SS,NULL,0.547034,4,NULL,low,0.505422,Left,4,125121
158,D00-SS,NULL,0.512585,2,NULL,low,0.371049,Left,3,126516
138,D00-MT,NULL,0.520361,2,NULL,medium,0.403928,Left,3,121428
153,D00-SP,NULL,0.536117,2,NULL,low,0.36667,Left,3,119322
278,D00-ENG,NULL,0.815264,6,NULL,high,0.0792939,Left,4,112123
159,D00-SS,NULL,0.597303,2,NULL,medium,0.417487,Left,3,123877
154,D00-SS,NULL,0.607358,2,NULL,low,0.417173,Left,3,116127
310,NULL,NULL,0.732204,6,NULL,low,0.111914,Left,4,114952
156,D00-MN,NULL,0.454041,2,NULL,medium,0.400145,Left,3,118492
280,D00-SP,NULL,0.957407,6,NULL,low,0.158427,Left,4,115874
249,D00-MT,NULL,0.697713,3,NULL,medium,0.781751,Left,5,119371
224,D00-FN,NULL,0.469179,7,NULL,medium,0.19819,Left,5,122758
160,D00-MT,NULL,0.426595,2,NULL,medium,0.3736,Left,3,129865
273,D00-MN,NULL,0.850542,4,NULL,low,0.811183,Left,5,120433
143,D00-ENG,NULL,0.562405,2,NULL,medium,0.420525,Left,3,129655
298,D00-SS,NULL,0.965138,6,NULL,low,0.0946862,Left,4,115706
239,D00-MT,NULL,1,5,NULL,low,0.843067,Left,6,115424
251,D00-MT,NULL,0.944582,4,NULL,medium,0.829317,Left,5,125406
160,D00-SS,NULL,0.492099,2,NULL,low,0.363487,Left,3,113247
140,D00-ENG,NULL,0.536804,2,NULL,medium,0.376617,Left,3,121907
136,NULL,NULL,0.515691,2,NULL,low,0.368244,Left,3,123674
142,D00-SS,NULL,0.538917,2,NULL,low,0.355897,Left,3,127169
260,D00-SS,NULL,0.513827,4,NULL,medium,0.588318,Left,3,126524
290,D00-ENG,NULL,0.76584,6,NULL,medium,0.0827398,Left,5,126214
245,D00-SS,NULL,0.835256,5,NULL,low,0.829798,Left,5,113303
124,D00-TP,NULL,NULL,3,NULL,low,NULL,Left,NULL,116012
289,D00-SS,NULL,0.852163,7,NULL,low,0.0703123,Left,4,112487
257,D00-FN,NULL,1,5,NULL,medium,0.886461,Left,5,118135
233,D00-IT,NULL,1,4,NULL,low,0.714841,Left,5,112968
269,D00-IT,NULL,0.797653,6,NULL,low,0.071595,Left,4,123099
228,NULL,NULL,0.937202,4,NULL,low,0.745604,Left,5,118080
119,D00-TP,NULL,NULL,2,NULL,medium,NULL,Left,NULL,116287
248,D00-PD,NULL,1,5,NULL,medium,0.836733,Left,5,122086
261,D00-FN,NULL,0.828202,6,NULL,medium,0.153197,Left,4,120176
218,D00-SS,NULL,0.971004,4,NULL,low,0.75095,Left,5,115770
172,D00-SS,NULL,NULL,5,NULL,low,0.383471,Left,2,113487
270,D00-SP,1,0.822992,5,NULL,medium,0.777664,Left,5,129531
257,D00-SP,NULL,0.797304,6,NULL,low,0.114947,Left,4,121175
128,D00-SS,NULL,0.517344,2,NULL,low,0.390653,Left,3,113196
151,D00-IT,NULL,0.545662,2,NULL,low,0.380905,Left,3,113595
145,D00-IT,NULL,0.538776,2,NULL,low,0.33669,Left,3,123762
135,D00-IT,NULL,0.527794,2,NULL,low,0.341672,Left,3,113326
304,D00-ENG,NULL,0.82532,6,NULL,low,0.115863,Left,4,123610
136,D00-IT,NULL,0.546984,2,NULL,low,0.318171,Left,3,128970
132,D00-ENG,NULL,0.520296,2,NULL,medium,0.374531,Left,3,128674
248,D00-SP,NULL,1,5,NULL,medium,0.700604,Left,5,111481
141,D00-SS,NULL,0.529515,2,NULL,low,0.394023,Left,3,119885
132,D00-SS,NULL,0.571622,5,NULL,low,0.301249,Left,5,129693
147,D00-SS,NULL,NULL,2,NULL,low,0.475132,Left,3,122010
149,D00-SP,NULL,0.517082,2,NULL,low,0.428383,Left,3,124075
129,D00-MN,NULL,NULL,2,NULL,low,0.488907,Left,3,110457
151,D00-SS,NULL,0.498054,2,NULL,low,0.385963,Left,3,114524
144,D00-SS,NULL,0.576558,2,NULL,low,0.465891,Left,3,119723
159,D00-PD,NULL,0.525789,2,NULL,medium,0.441667,Left,3,129013
156,D00-SS,NULL,0.495712,2,NULL,medium,0.485934,Left,3,117715
146,D00-MT,NULL,0.519571,2,NULL,low,0.426425,Left,3,113703
150,D00-SS,NULL,0.425017,2,NULL,low,0.481675,Left,3,121622
236,D00-SS,NULL,1,3,NULL,medium,0.319276,Left,4,126087
262,#NAME?,NULL,0.901248,5,NULL,low,0.717886,Left,5,117187
143,D00-FN,NULL,0.525877,2,NULL,medium,0.354678,Left,3,129025
244,D00-ENG,NULL,0.867343,6,NULL,medium,0.129053,Left,4,126377
249,D00-IT,NULL,0.983261,4,NULL,low,0.809117,Left,5,124473
151,D00-MN,NULL,0.539141,2,NULL,low,0.452634,Left,3,122410
271,D00-ENG,NULL,0.946384,5,NULL,low,0.934184,Left,5,121359
266,D00-FN,NULL,0.904513,5,NULL,medium,0.7857,Left,5,117699
263,D00-SS,NULL,0.989693,5,NULL,low,0.828111,Left,6,111203
242,D00-SP,NULL,0.900549,5,NULL,medium,0.820155,Left,5,128209
309,D00-SP,NULL,0.875607,6,NULL,low,0.0870366,Left,4,120671
144,D00-SS,NULL,NULL,2,NULL,medium,0.4203,Left,3,115479
147,D00-ENG,NULL,0.522608,2,NULL,medium,0.362178,Left,3,118588
296,D00-AD,NULL,0.958952,7,NULL,low,0.166429,Left,4,122459
281,NULL,NULL,0.573619,4,NULL,medium,0.53542,Left,6,124552
137,D00-ENG,NULL,0.528545,2,NULL,low,0.331802,Left,3,118352
159,D00-ENG,1,NULL,2,NULL,low,0.468977,Left,3,115205
249,D00-SS,NULL,0.964928,6,NULL,low,0.153867,Left,4,112184
154,D00-PD,1,0.525127,2,NULL,medium,0.45113,Left,3,124453
271,D00-SS,NULL,0.945909,5,NULL,low,0.846959,Left,5,126134
253,D00-SS,NULL,1,4,NULL,low,0.795731,Left,5,128833
136,D00-SP,NULL,0.503641,2,NULL,medium,0.351784,Left,3,129933
269,D00-FN,NULL,0.925694,5,NULL,low,0.760691,Left,5,127948
133,D00-SS,NULL,0.53334,2,NULL,medium,0.326139,Left,3,118334
252,D00-IT,NULL,0.898176,5,NULL,low,0.896276,Left,5,121673
143,D00-IT,NULL,0.505161,2,NULL,low,0.417466,Left,3,114156
275,D00-SP,NULL,0.89894,7,NULL,low,0.0863607,Left,4,125723
264,D00-ENG,NULL,0.774554,6,NULL,low,0.110974,Left,4,0
219,D00-ENG,NULL,0.976371,5,NULL,low,0.86532,Left,5,111904
136,D00-PD,NULL,0.486269,2,NULL,medium,0.421147,Left,3,114440
263,D00-MT,NULL,0.869344,6,NULL,low,0.111513,Left,4,124802
156,D00-ENG,NULL,NULL,2,NULL,medium,0.424762,Left,3,122198
307,D00-SP,NULL,0.930352,7,NULL,low,0.117907,Left,4,120828
274,D00-IT,NULL,0.950468,4,NULL,low,0.888559,Left,5,121290
151,D00-SS,NULL,NULL,2,NULL,medium,0.419416,Left,3,126157
244,D00-ENG,NULL,0.919524,5,NULL,low,0.701672,Left,5,122835
148,D00-SP,NULL,0.529041,2,NULL,low,0.357894,Left,3,114323
155,D00-SS,NULL,0.461114,2,NULL,low,0.400453,Left,3,123938
127,D00-SP,NULL,0.505487,2,NULL,medium,0.338849,Left,3,122116
226,D00-PD,NULL,0.860763,4,NULL,medium,0.768132,Left,5,124242
159,NULL,NULL,0.470259,2,NULL,high,0.455563,Left,3,127260
149,D00-SP,NULL,0.525145,2,NULL,low,0.397215,Left,3,121601
140,NULL,NULL,0.946863,5,NULL,medium,0.13655,Left,5,114532
232,D00-ENG,NULL,0.980759,4,NULL,medium,0.825572,Left,5,129369
214,D00-ENG,NULL,0.487172,4,NULL,medium,0.306061,Left,4,119071
271,D00-SS,NULL,0.93057,4,NULL,low,0.775065,Left,5,124735
133,D00-ENG,NULL,0.542964,2,NULL,low,0.375272,Left,3,112477
225,D00-ENG,NULL,0.991495,4,NULL,low,0.912214,Left,5,110613
127,D00-IT,NULL,0.470798,2,NULL,medium,0.426591,Left,3,111157
142,D00-PD,NULL,0.564768,2,NULL,medium,0.349758,Left,3,110775
282,D00-ENG,NULL,0.990687,7,NULL,low,0.120595,Left,4,117091
180,D00-ENG,NULL,0.623574,3,NULL,medium,0.609113,Left,4,128215
136,D00-SS,NULL,0.600009,2,NULL,low,0.40412,Left,3,124490
255,D00-SS,NULL,0.955329,4,NULL,low,0.787524,Left,6,118605
300,D00-MN,NULL,0.979651,7,NULL,medium,0.166336,Left,4,125757
252,D00-AD,NULL,0.888437,5,NULL,low,0.852599,Left,5,112735
309,D00-SP,NULL,0.853192,6,NULL,low,0.102148,Left,4,118857
144,D00-MT,NULL,0.464083,2,NULL,medium,0.405598,Left,3,126513
240,D00-SS,NULL,0.849425,4,NULL,medium,0.820867,Left,5,129935
225,D00-SS,NULL,0.977501,4,NULL,medium,0.734395,Left,5,129829
159,D00-ENG,1,0.576623,2,NULL,low,0.466212,Left,3,119252
217,D00-SP,NULL,0.963093,5,NULL,low,0.821675,Left,5,121519
245,D00-SS,NULL,1,4,NULL,low,0.752076,Left,5,117273
247,D00-ENG,NULL,0.883274,4,NULL,low,0.881484,Left,6,128675
293,D00-SS,NULL,0.808091,6,NULL,low,0.094254,Left,5,115302
160,D00-FN,NULL,0.591197,2,NULL,low,0.418741,Left,3,120659
275,D00-SP,NULL,1,5,NULL,low,0.783389,Left,5,119147
246,D00-SS,NULL,0.996432,5,NULL,low,0.875615,Left,5,124420
227,D00-SS,NULL,0.830078,5,NULL,low,0.780955,Left,5,111974
310,D00-SS,NULL,0.858179,7,NULL,medium,0.147125,Left,4,124512
282,D00-ENG,NULL,0.830166,7,NULL,low,0.137862,Left,5,112664
238,D00-FN,NULL,0.595896,4,NULL,medium,0.269952,Left,2,116840
301,D00-SP,NULL,0.556134,3,NULL,low,0.240336,Left,3,116177
142,D00-SS,NULL,NULL,2,NULL,low,0.33687,Left,3,117984
261,D00-SP,NULL,0.805149,6,NULL,low,0.0817661,Left,4,111389
264,D00-FN,NULL,0.96422,7,NULL,medium,0.117403,Left,4,127340
233,D00-SS,NULL,0.971481,4,NULL,low,0.854863,Left,5,117960
177,NULL,NULL,0.820629,3,NULL,medium,0.681186,Left,4,118239
236,D00-SS,NULL,0.853609,4,NULL,medium,0.816641,Left,5,118450
144,D00-FN,NULL,0.453524,2,NULL,low,0.40815,Left,3,128504
140,D00-ENG,NULL,0.427874,2,NULL,low,0.492721,Left,3,129522
268,D00-MT,NULL,0.794418,6,NULL,low,0.107563,Left,4,124522
142,D00-ENG,NULL,0.40006,2,NULL,low,0.369309,Left,3,127110
275,D00-PD,NULL,0.781891,5,NULL,medium,0.153319,Left,4,120955
307,D00-SS,NULL,0.975868,6,NULL,low,0.135755,Left,4,113250
146,D00-ENG,NULL,0.557437,2,NULL,medium,0.471105,Left,3,114748
